wall_epoch,phase,gpu,memory_used_mib,utilization_pct
1787561450.3251188,control_cold,4,94339,100.0
1787561450.3251188,control_cold,5,94339,100.0
1787561450.3251188,control_cold,6,94337,100.0
1787561452.6159375,control_cold,3,93939,100.0
1787561452.6159375,control_cold,4,94339,100.0
1787561452.6159375,control_cold,5,94339,100.0
1787561452.6159375,control_cold,6,94337,100.0
1787561455.4280558,control_cold,3,93939,100.0
1787561455.4280558,control_cold,4,94339,100.0
1787561455.4280558,control_cold,5,94339,100.0
1787561455.4280558,control_cold,6,94337,100.0
1787561457.7318628,control_cold,3,93939,100.0
1787561457.7318628,control_cold,4,94339,100.0
1787561457.7318628,control_cold,5,94339,100.0
1787561457.7318628,control_cold,6,94337,100.0
1787561460.0059705,control_cold,3,93939,100.0
1787561460.0059705,control_cold,4,94339,100.0
1787561460.0059705,control_cold,5,94339,100.0
1787561460.0059705,control_cold,6,94337,100.0
1787561462.1389194,control_cold,3,93939,100.0
1787561462.1389194,control_cold,4,94339,100.0
1787561462.1389194,control_cold,5,94339,100.0
1787561462.1389194,control_cold,6,94337,100.0
1787561464.5001655,control_cold,3,93939,100.0
1787561464.5001655,control_cold,4,94339,100.0
1787561464.5001655,control_cold,5,94339,100.0
1787561464.5001655,control_cold,6,94337,100.0
1787561466.7796357,control_cold,3,93939,100.0
1787561466.7796357,control_cold,4,94339,100.0
1787561466.7796357,control_cold,5,94339,100.0
1787561466.7796357,control_cold,6,94337,100.0
1787561469.0345933,control_cold,3,93939,100.0
1787561469.0345933,control_cold,4,94339,100.0
1787561469.0345933,control_cold,5,94339,100.0
1787561469.0345933,control_cold,6,94337,100.0
1787561471.8258586,control_cold,3,93939,100.0
1787561471.8258586,control_cold,4,94339,100.0
1787561471.8258586,control_cold,5,94339,100.0
1787561471.8258586,control_cold,6,94337,100.0
1787561474.5208333,control_cold,3,93939,100.0
1787561474.5208333,control_cold,4,94339,100.0
1787561474.5208333,control_cold,5,94339,100.0
1787561474.5208333,control_cold,6,94337,100.0
1787561476.700422,control_cold,3,93939,100.0
1787561476.700422,control_cold,4,94339,100.0
1787561476.700422,control_cold,5,94339,100.0
1787561476.700422,control_cold,6,94337,100.0
1787561479.0139751,control_cold,3,93939,100.0
1787561479.0139751,control_cold,4,94339,100.0
1787561479.0139751,control_cold,5,94339,100.0
1787561479.0139751,control_cold,6,94337,100.0
1787561481.2947156,control_cold,3,93939,100.0
1787561481.2947156,control_cold,4,94339,100.0
1787561481.2947156,control_cold,5,94339,100.0
1787561481.2947156,control_cold,6,94337,96.0
1787561483.4350002,control_cold,3,93939,100.0
1787561483.4350002,control_cold,4,94339,100.0
1787561483.4350002,control_cold,5,94339,100.0
1787561483.4350002,control_cold,6,94337,100.0
1787561485.6871226,control_cold,3,93939,100.0
1787561485.6871226,control_cold,4,94339,100.0
1787561485.6871226,control_cold,5,94339,100.0
1787561485.6871226,control_cold,6,94337,100.0
1787561487.9507372,control_cold,3,93939,100.0
1787561487.9507372,control_cold,4,94339,100.0
